date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:29	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2017%20Mar%202026%2008:35:01%20GMT	https://booqi.me/nl/	./downloaded-site-booqi/booqi.me/nl/index.html	(from https://booqi.me/nl/features)
09:35:29	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2017%20Mar%202026%2008:35:01%20GMT	https://booqi.me/fr/	./downloaded-site-booqi/booqi.me/fr/index.html	(from https://booqi.me/fr/features)
09:35:29	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2017%20Mar%202026%2008:35:02%20GMT	https://booqi.me/es/	./downloaded-site-booqi/booqi.me/es/index.html	(from https://booqi.me/es/features)
09:35:30	301158/301158	---MCZ	200	added ('OK')	text/html	etag:W/%22b4fce192e20b22bf3c1fc5bc130d8f60%22	https://booqi.me/nl/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi	./downloaded-site-booqi/booqi.me/nl/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi.html	(from https://booqi.me/nl/blog)
09:35:31	305571/305571	---MCZ	200	added ('OK')	text/html	etag:W/%22fada269f07f7d47adfa243a0f1387e7f%22	https://booqi.me/nl/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility	./downloaded-site-booqi/booqi.me/nl/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility.html	(from https://booqi.me/nl/blog)
09:35:32	307485/307485	---MCZ	200	added ('OK')	text/html	etag:W/%22ea742148464b5737726142f951f9d00e%22	https://booqi.me/nl/blog/increase-customer-loyalty-with-subscription-modules	./downloaded-site-booqi/booqi.me/nl/blog/increase-customer-loyalty-with-subscription-modules.html	(from https://booqi.me/nl/blog)
09:35:33	311149/311149	---MCZ	200	added ('OK')	text/html	etag:W/%22c7005df8be53dec5f0e5d0d01b398067%22	https://booqi.me/nl/blog/the-power-of-smart-emails-for-your-visitors	./downloaded-site-booqi/booqi.me/nl/blog/the-power-of-smart-emails-for-your-visitors.html	(from https://booqi.me/nl/blog)
09:35:34	309062/309062	---MCZ	200	added ('OK')	text/html	etag:W/%220f04e1afa515f0136f5713dbd05935ad%22	https://booqi.me/nl/blog/how-capacity-poules-help-optimize-your-venue	./downloaded-site-booqi/booqi.me/nl/blog/how-capacity-poules-help-optimize-your-venue.html	(from https://booqi.me/nl/blog)
09:35:35	310401/310401	---MCZ	200	added ('OK')	text/html	etag:W/%2206da4aca46975473d1cbd700a047732f%22	https://booqi.me/nl/blog/why-working-with-customer-groups-makes-the-difference	./downloaded-site-booqi/booqi.me/nl/blog/why-working-with-customer-groups-makes-the-difference.html	(from https://booqi.me/nl/blog)
09:35:36	302147/302147	---MCZ	200	added ('OK')	text/html	etag:W/%22b4fce192e20b22bf3c1fc5bc130d8f60%22	https://booqi.me/fr/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi	./downloaded-site-booqi/booqi.me/fr/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi.html	(from https://booqi.me/fr/blog)
09:35:37	306545/306545	---MCZ	200	added ('OK')	text/html	etag:W/%22fada269f07f7d47adfa243a0f1387e7f%22	https://booqi.me/fr/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility	./downloaded-site-booqi/booqi.me/fr/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility.html	(from https://booqi.me/fr/blog)
